person_id;household_id;activity_index;preceding_trip_index;following_trip_index;purpose;start_time;end_time;is_first;is_last
684;684;1;0;1;education;29815.0;65215.0;False;False
684;684;2;1;-1;home;66115.0;;False;True
758;758;0;-1;0;home;;35671.0;True;False
758;758;1;0;1;leisure;37771.0;38071.0;False;False
758;758;2;1;2;home;38971.0;41371.0;False;False
758;758;3;2;3;other;41671.0;41971.0;False;False
758;758;4;3;4;home;42571.0;47071.0;False;False
758;758;5;4;5;leisure;47671.0;56671.0;False;False
758;758;6;5;6;other;57871.0;58771.0;False;False
758;758;7;6;-1;home;59671.0;;False;True
829;829;0;-1;0;home;;29228.0;True;False
829;829;1;0;1;education;29828.0;58928.0;False;False
829;829;2;1;2;home;59528.0;63128.0;False;False
829;829;3;2;3;other;63728.0;64028.0;False;False
829;829;4;3;4;other;64328.0;64628.0;False;False
829;829;5;4;-1;home;65228.0;;False;True
919;919;0;-1;0;home;;30359.0;True;False
919;919;1;0;1;education;30659.0;61859.0;False;False
919;919;2;1;-1;home;63059.0;;False;True
920;920;0;-1;0;home;;36545.0;True;False
920;920;1;0;1;leisure;36845.0;43745.0;False;False
920;920;2;1;2;home;44045.0;51845.0;False;False
920;920;3;2;3;leisure;52745.0;59345.0;False;False
920;920;4;3;4;leisure;60245.0;65345.0;False;False
920;920;5;4;-1;home;65645.0;;False;True
958;958;0;-1;0;home;;27530.0;True;False
958;958;1;0;1;education;28430.0;41030.0;False;False
958;958;2;1;-1;home;66230.0;;False;True
993;993;0;-1;0;home;;33139.0;True;False
993;993;1;0;1;education;34039.0;49639.0;False;False
993;993;2;1;2;other;51139.0;54139.0;False;False
993;993;3;2;3;education;55639.0;61039.0;False;False
993;993;4;3;4;home;63439.0;65839.0;False;False
993;993;5;4;5;leisure;67219.0;67219.0;False;False
993;993;6;5;-1;home;68539.0;;False;True
1004;1004;0;-1;0;home;;28741.0;True;False
1004;1004;1;0;1;education;29341.0;31741.0;False;False
1004;1004;2;1;2;leisure;34141.0;56941.0;False;False
1004;1004;3;2;3;education;58741.0;59041.0;False;False
1004;1004;4;3;-1;home;60241.0;;False;True
1031;1031;0;-1;0;home;;31745.0;True;False
1031;1031;1;0;1;education;32345.0;43745.0;False;False
1031;1031;2;1;2;home;44045.0;47945.0;False;False
1031;1031;3;2;3;education;48245.0;57845.0;False;False
1031;1031;4;3;4;other;58745.0;62345.0;False;False
1031;1031;5;4;-1;home;63245.0;;False;True
1045;1045;0;-1;0;home;;31329.0;True;False
1045;1045;1;0;1;education;31629.0;66129.0;False;False
1045;1045;2;1;-1;home;66429.0;;False;True
1059;1059;0;-1;0;home;;23170.0;True;False
1059;1059;1;0;1;home;23470.0;29470.0;False;False
1059;1059;2;1;2;education;30070.0;59770.0;False;False
1059;1059;3;2;3;home;60370.0;63070.0;False;False
1059;1059;4;3;4;leisure;63370.0;69370.0;False;False
1059;1059;5;4;-1;home;70270.0;;False;True
1095;1095;0;-1;0;home;;31688.0;True;False
1095;1095;1;0;1;education;31988.0;43688.0;False;False
1095;1095;2;1;2;home;43988.0;50288.0;False;False
1095;1095;3;2;3;education;50588.0;61388.0;False;False
1095;1095;4;3;4;leisure;62288.0;65888.0;False;False
1095;1095;5;4;-1;home;66788.0;;False;True
1098;1098;0;-1;0;home;;28898.0;True;False
1098;1098;1;0;1;education;29078.0;41018.0;False;False
1098;1098;2;1;2;home;41198.0;46898.0;False;False
1098;1098;3;2;3;education;47078.0;59018.0;False;False
1098;1098;4;3;4;leisure;59918.0;63518.0;False;False
1098;1098;5;4;-1;home;64718.0;;False;True
1103;1103;0;-1;0;home;;32235.0;True;False
1103;1103;1;0;1;education;32835.0;36735.0;False;False
1103;1103;2;1;2;leisure;37935.0;43035.0;False;False
1103;1103;3;2;3;education;44535.0;58335.0;False;False
1103;1103;4;3;-1;home;61935.0;;False;True
1109;1109;0;-1;0;home;;49336.0;True;False
1109;1109;1;0;1;leisure;49936.0;50836.0;False;False
1109;1109;2;1;2;leisure;52036.0;58336.0;False;False
1109;1109;3;2;3;home;59236.0;64636.0;False;False
1109;1109;4;3;4;shop;65236.0;66136.0;False;False
1109;1109;5;4;5;leisure;66736.0;67936.0;False;False
1109;1109;6;5;-1;home;68536.0;;False;True
1180;1180;0;-1;0;leisure;;28088.0;True;False
1180;1180;1;0;1;education;28208.0;28688.0;False;False
1180;1180;2;1;2;education;29588.0;59528.0;False;False
1180;1180;3;2;3;leisure;60128.0;65348.0;False;False
1180;1180;4;3;-1;home;65948.0;;False;True
1186;1186;0;-1;0;home;;30930.0;True;False
1186;1186;1;0;1;education;31530.0;60930.0;False;False
1186;1186;2;1;2;leisure;61530.0;69930.0;False;False
1186;1186;3;2;-1;home;70230.0;;False;True
1217;1217;0;-1;0;home;;30992.0;True;False
1217;1217;1;0;1;education;31592.0;42992.0;False;False
1217;1217;2;1;2;home;43592.0;47192.0;False;False
1217;1217;3;2;3;education;48092.0;55592.0;False;False
1217;1217;4;3;-1;home;56192.0;;False;True
1251;1251;0;-1;0;leisure;;66274.0;True;False
1251;1251;1;0;-1;home;66574.0;;False;True
1269;1269;0;-1;0;home;;28115.0;True;False
1269;1269;1;0;1;education;28415.0;57815.0;False;False
1269;1269;2;1;2;home;58715.0;62615.0;False;False
1269;1269;3;2;3;other;63215.0;65915.0;False;False
1269;1269;4;3;-1;home;66815.0;;False;True
1289;1289;0;-1;0;home;;38763.0;True;False
1289;1289;1;0;1;leisure;39063.0;42363.0;False;False
1289;1289;2;1;2;home;42663.0;48363.0;False;False
1289;1289;3;2;3;leisure;49263.0;54663.0;False;False
1289;1289;4;3;4;home;55563.0;65163.0;False;False
1289;1289;5;4;5;other;65463.0;65523.0;False;False
1289;1289;6;5;-1;home;65823.0;;False;True
1316;1316;0;-1;0;leisure;;32570.0;True;False
1316;1316;1;0;1;leisure;34070.0;41570.0;False;False
1316;1316;2;1;2;home;43070.0;52370.0;False;False
1316;1316;3;2;3;leisure;55970.0;56270.0;False;False
1316;1316;4;3;4;leisure;57770.0;62570.0;False;False
1316;1316;5;4;-1;home;64370.0;;False;True
1355;1355;0;-1;0;home;;31230.0;True;False
1355;1355;1;0;1;education;32430.0;44130.0;False;False
1355;1355;2;1;2;home;45330.0;48030.0;False;False
1355;1355;3;2;3;education;50130.0;54630.0;False;False
1355;1355;4;3;-1;home;55830.0;;False;True
1361;1361;0;-1;0;home;;30041.0;True;False
1361;1361;1;0;1;other;34541.0;40841.0;False;False
1361;1361;2;1;2;shop;41561.0;63341.0;False;False
1361;1361;3;2;-1;home;66941.0;;False;True
1363;1363;0;-1;0;home;;27720.0;True;False
1363;1363;1;0;1;education;28620.0;43380.0;False;False
1363;1363;2;1;2;home;44220.0;49320.0;False;False
1363;1363;3;2;3;education;50220.0;61380.0;False;False
1363;1363;4;3;-1;home;62520.0;;False;True
1392;1392;0;-1;0;home;;30156.0;True;False
1392;1392;1;0;1;education;30756.0;41556.0;False;False
1392;1392;2;1;2;home;42156.0;46356.0;False;False
1392;1392;3;2;3;education;46956.0;57756.0;False;False
1392;1392;4;3;-1;home;58356.0;;False;True
1407;1407;0;-1;0;leisure;;30821.0;True;False
1407;1407;1;0;1;leisure;31721.0;61421.0;False;False
1407;1407;2;1;-1;home;62021.0;;False;True
1409;1409;0;-1;0;home;;28487.0;True;False
1409;1409;1;0;1;education;29087.0;40787.0;False;False
1409;1409;2;1;2;home;41387.0;46187.0;False;False
1409;1409;3;2;3;education;46787.0;57587.0;False;False
1409;1409;4;3;-1;home;58187.0;;False;True
1417;1417;0;-1;0;home;;27011.0;True;False
1417;1417;1;0;1;education;27911.0;29711.0;False;False
1417;1417;2;1;2;leisure;36011.0;59411.0;False;False
1417;1417;3;2;3;education;66911.0;68411.0;False;False
1417;1417;4;3;-1;home;69311.0;;False;True
1452;1452;0;-1;0;home;;30403.0;True;False
1452;1452;1;0;1;education;30583.0;62803.0;False;False
1452;1452;2;1;-1;home;62983.0;;False;True
1502;1502;0;-1;0;home;;64286.0;True;False
1502;1502;1;0;1;other;64706.0;67286.0;False;False
1502;1502;2;1;2;home;67706.0;70106.0;False;False
1502;1502;3;2;3;other;70586.0;71186.0;False;False
1502;1502;4;3;-1;home;71546.0;;False;True
1518;1518;0;-1;0;home;;29937.0;True;False
1518;1518;1;0;1;education;30837.0;32637.0;False;False
1518;1518;2;1;2;leisure;34437.0;39837.0;False;False
1518;1518;3;2;3;education;41637.0;66837.0;False;False
1518;1518;4;3;-1;home;67737.0;;False;True
1586;1586;0;-1;0;home;;27024.0;True;False
1586;1586;1;0;1;education;28224.0;60324.0;False;False
1586;1586;2;1;2;shop;60924.0;63024.0;False;False
1586;1586;3;2;-1;home;63924.0;;False;True
1594;1594;0;-1;0;home;;32223.0;True;False
1594;1594;1;0;1;education;32523.0;60423.0;False;False
1594;1594;2;1;-1;home;60723.0;;False;True
1597;1597;0;-1;0;home;;31484.0;True;False
1597;1597;1;0;1;education;31664.0;44684.0;False;False
1597;1597;2;1;2;home;45284.0;49184.0;False;False
1597;1597;3;2;3;education;49484.0;59084.0;False;False
1597;1597;4;3;4;home;60284.0;64484.0;False;False
1597;1597;5;4;5;leisure;64784.0;67784.0;False;False
1597;1597;6;5;-1;home;68084.0;;False;True
1635;1635;0;-1;0;home;;30146.0;True;False
1635;1635;1;0;1;education;31346.0;49646.0;False;False
1635;1635;2;1;-1;home;51446.0;;False;True
1638;1638;0;-1;0;home;;57571.0;True;False
1638;1638;1;0;1;leisure;58471.0;68371.0;False;False
1638;1638;2;1;-1;home;69271.0;;False;True
1666;1666;0;-1;0;home;;32552.0;True;False
1666;1666;1;0;1;education;33152.0;62852.0;False;False
1666;1666;2;1;-1;home;63452.0;;False;True
1705;1705;0;-1;0;home;;30751.0;True;False
1705;1705;1;0;1;education;31651.0;43351.0;False;False
1705;1705;2;1;2;home;44551.0;48751.0;False;False
1705;1705;3;2;3;education;49651.0;61351.0;False;False
1705;1705;4;3;4;home;62551.0;64051.0;False;False
1705;1705;5;4;5;leisure;64351.0;67651.0;False;False
1705;1705;6;5;-1;home;67951.0;;False;True
1733;1733;0;-1;0;home;;29227.0;True;False
1733;1733;1;0;1;education;29527.0;58627.0;False;False
1733;1733;2;1;-1;home;58927.0;;False;True
1734;1734;0;-1;0;home;;32850.0;True;False
1734;1734;1;0;1;education;33150.0;69750.0;False;False
1734;1734;2;1;-1;home;70050.0;;False;True
1801;1801;0;-1;0;home;;29621.0;True;False
1801;1801;1;0;1;other;34121.0;40421.0;False;False
1801;1801;2;1;2;shop;41141.0;62921.0;False;False
1801;1801;3;2;-1;home;66521.0;;False;True
1828;1828;0;-1;0;home;;30404.0;True;False
1828;1828;1;0;1;leisure;30704.0;38504.0;False;False
1828;1828;2;1;-1;home;38804.0;;False;True
1842;1842;0;-1;0;home;;64376.0;True;False
1842;1842;1;0;1;shop;65276.0;66476.0;False;False
1842;1842;2;1;-1;home;67676.0;;False;True
1846;1846;0;-1;0;home;;25994.0;True;False
1846;1846;1;0;1;education;26594.0;39794.0;False;False
1846;1846;2;1;2;home;40094.0;46094.0;False;False
1846;1846;3;2;3;education;46394.0;55994.0;False;False
1846;1846;4;3;4;home;56294.0;59594.0;False;False
1846;1846;5;4;5;shop;60194.0;63194.0;False;False
1846;1846;6;5;-1;home;63794.0;;False;True
1872;1872;0;-1;0;home;;32826.0;True;False
1872;1872;1;0;1;education;33426.0;44226.0;False;False
1872;1872;2;1;-1;home;44526.0;;False;True
1920;1920;0;-1;0;home;;36835.0;True;False
1920;1920;1;0;1;leisure;37735.0;44035.0;False;False
1920;1920;2;1;2;other;44635.0;44695.0;False;False
1920;1920;3;2;3;home;44935.0;55735.0;False;False
1920;1920;4;3;4;leisure;56335.0;59335.0;False;False
1920;1920;5;4;5;other;60535.0;61135.0;False;False
1920;1920;6;5;6;other;61735.0;62335.0;False;False
1920;1920;7;6;-1;home;62935.0;;False;True
1927;1927;0;-1;0;home;;28646.0;True;False
1927;1927;1;0;1;education;28946.0;59846.0;False;False
1927;1927;2;1;-1;home;60146.0;;False;True
1950;1950;0;-1;0;home;;26530.0;True;False
1950;1950;1;0;1;leisure;26830.0;34630.0;False;False
1950;1950;2;1;2;leisure;35230.0;59830.0;False;False
1950;1950;3;2;3;education;61630.0;64330.0;False;False
1950;1950;4;3;-1;home;64630.0;;False;True
1959;1959;0;-1;0;home;;31459.0;True;False
1959;1959;1;0;1;education;32659.0;44359.0;False;False
1959;1959;2;1;2;home;45559.0;48259.0;False;False
1959;1959;3;2;3;education;50359.0;54859.0;False;False
1959;1959;4;3;-1;home;56059.0;;False;True
1960;1960;0;-1;0;home;;41114.0;True;False
1960;1960;1;0;1;education;41414.0;50714.0;False;False
1960;1960;2;1;2;home;51014.0;65114.0;False;False
1960;1960;3;2;-1;leisure;67814.0;;False;True
1963;1963;0;-1;0;home;;31398.0;True;False
1963;1963;1;0;1;education;31998.0;64698.0;False;False
1963;1963;2;1;-1;home;65298.0;;False;True
1966;1966;0;-1;0;home;;28286.0;True;False
1966;1966;1;0;1;education;28586.0;63386.0;False;False
1966;1966;2;1;-1;home;63986.0;;False;True
1980;1980;0;-1;0;home;;49425.0;True;False
1980;1980;1;0;1;leisure;50325.0;56625.0;False;False
1980;1980;2;1;2;home;57525.0;58425.0;False;False
1980;1980;3;2;3;leisure;59025.0;62625.0;False;False
1980;1980;4;3;4;home;63225.0;64725.0;False;False
1980;1980;5;4;5;leisure;65325.0;67425.0;False;False
1980;1980;6;5;-1;home;68325.0;;False;True
2000;2000;0;-1;0;home;;30120.0;True;False
2000;2000;1;0;1;leisure;31620.0;33840.0;False;False
2000;2000;2;1;2;leisure;35640.0;60840.0;False;False
2000;2000;3;2;3;leisure;62640.0;64440.0;False;False
2000;2000;4;3;-1;home;66840.0;;False;True
2044;2044;0;-1;0;home;;29760.0;True;False
2044;2044;1;0;1;education;29820.0;41400.0;False;False
2044;2044;2;1;2;home;41460.0;47520.0;False;False
2044;2044;3;2;3;education;47640.0;59220.0;False;False
2044;2044;4;3;4;home;59280.0;62760.0;False;False
2044;2044;5;4;5;other;63660.0;64800.0;False;False
2044;2044;6;5;-1;home;65520.0;;False;True
2095;2095;0;-1;0;home;;30129.0;True;False
2095;2095;1;0;1;education;30549.0;43329.0;False;False
2095;2095;2;1;2;leisure;43929.0;47229.0;False;False
2095;2095;3;2;3;education;47829.0;60129.0;False;False
2095;2095;4;3;4;home;60729.0;62829.0;False;False
2095;2095;5;4;5;leisure;63129.0;69729.0;False;False
2095;2095;6;5;-1;home;70029.0;;False;True
2103;2103;0;-1;0;home;;27622.0;True;False
2103;2103;1;0;1;education;28222.0;63022.0;False;False
2103;2103;2;1;-1;home;63622.0;;False;True
2129;2129;0;-1;0;home;;36782.0;True;False
2129;2129;1;0;-1;leisure;40682.0;;False;True
2132;2132;0;-1;0;home;;29773.0;True;False
2132;2132;1;0;1;education;30193.0;42373.0;False;False
2132;2132;2;1;2;home;42973.0;48073.0;False;False
2132;2132;3;2;3;education;48493.0;63073.0;False;False
2132;2132;4;3;-1;home;63493.0;;False;True
2158;2158;0;-1;0;home;;31904.0;True;False
2158;2158;1;0;1;shop;32804.0;32864.0;False;False
2158;2158;2;1;2;home;34304.0;54404.0;False;False
2158;2158;3;2;3;leisure;55004.0;63404.0;False;False
2158;2158;4;3;-1;home;64004.0;;False;True
2167;2167;0;-1;0;leisure;;71706.0;True;False
2167;2167;1;0;-1;home;72606.0;;False;True
2240;2240;0;-1;0;home;;38253.0;True;False
2240;2240;1;0;1;leisure;38553.0;59853.0;False;False
2240;2240;2;1;2;other;60753.0;65253.0;False;False
2240;2240;3;2;-1;home;66153.0;;False;True
2257;2257;0;-1;0;home;;28642.0;True;False
2257;2257;1;0;1;education;29242.0;44842.0;False;False
2257;2257;2;1;2;home;45742.0;48442.0;False;False
2257;2257;3;2;3;education;49342.0;61342.0;False;False
2257;2257;4;3;-1;home;62242.0;;False;True
2262;2262;0;-1;0;home;;27179.0;True;False
2262;2262;1;0;1;education;28139.0;59039.0;False;False
2262;2262;2;1;-1;home;61739.0;;False;True
2266;2266;0;-1;0;home;;29986.0;True;False
2266;2266;1;0;1;education;31186.0;41686.0;False;False
2266;2266;2;1;2;home;44386.0;47986.0;False;False
2266;2266;3;2;3;education;49186.0;61186.0;False;False
2266;2266;4;3;4;home;62386.0;66586.0;False;False
2266;2266;5;4;5;leisure;66886.0;70186.0;False;False
2266;2266;6;5;-1;home;70486.0;;False;True
2293;2293;0;-1;0;home;;31492.0;True;False
2293;2293;1;0;1;education;31792.0;32692.0;False;False
2293;2293;2;1;2;education;32992.0;47092.0;False;False
2293;2293;3;2;3;leisure;47692.0;49792.0;False;False
2293;2293;4;3;4;education;50392.0;61492.0;False;False
2293;2293;5;4;5;home;62392.0;65392.0;False;False
2293;2293;6;5;6;leisure;65992.0;69592.0;False;False
2293;2293;7;6;7;home;70192.0;72592.0;False;False
2293;2293;8;7;8;leisure;73192.0;78592.0;False;False
2293;2293;9;8;-1;home;79192.0;;False;True
2332;2332;0;-1;0;home;;28681.0;True;False
2332;2332;1;0;1;education;30481.0;61681.0;False;False
2332;2332;2;1;-1;home;63781.0;;False;True
2358;2358;0;-1;0;leisure;;30378.0;True;False
2358;2358;1;0;1;education;31278.0;57378.0;False;False
2358;2358;2;1;-1;home;58278.0;;False;True
2444;2444;0;-1;0;home;;27849.0;True;False
2444;2444;1;0;1;education;28449.0;40749.0;False;False
2444;2444;2;1;2;home;41049.0;46749.0;False;False
2444;2444;3;2;3;education;47349.0;58749.0;False;False
2444;2444;4;3;4;home;59349.0;72549.0;False;False
2444;2444;5;4;-1;home;72849.0;;False;True
2504;2504;0;-1;0;home;;29946.0;True;False
2504;2504;1;0;1;education;30246.0;41646.0;False;False
2504;2504;2;1;2;home;41946.0;47946.0;False;False
2504;2504;3;2;3;education;48246.0;59646.0;False;False
2504;2504;4;3;-1;home;59946.0;;False;True
2514;2514;0;-1;0;home;;31302.0;True;False
2514;2514;1;0;1;education;31902.0;43302.0;False;False
2514;2514;2;1;2;home;43902.0;47502.0;False;False
2514;2514;3;2;3;education;48402.0;55902.0;False;False
2514;2514;4;3;-1;home;56502.0;;False;True
2561;2561;0;-1;0;home;;34025.0;True;False
2561;2561;1;0;1;home;34325.0;34385.0;False;False
2561;2561;2;1;2;shop;34925.0;37025.0;False;False
2561;2561;3;2;3;shop;38825.0;48425.0;False;False
2561;2561;4;3;-1;home;50225.0;;False;True
2583;2583;0;-1;0;home;;27829.0;True;False
2583;2583;1;0;1;education;28429.0;43129.0;False;False
2583;2583;2;1;-1;home;43729.0;;False;True
2634;2634;0;-1;0;home;;29229.0;True;False
2634;2634;1;0;1;education;30009.0;60009.0;False;False
2634;2634;2;1;-1;home;61209.0;;False;True
2678;2678;0;-1;0;home;;36133.0;True;False
2678;2678;1;0;-1;leisure;55933.0;;False;True
2679;2679;0;-1;0;home;;29949.0;True;False
2679;2679;1;0;1;other;30849.0;31149.0;False;False
2679;2679;2;1;2;education;32649.0;66849.0;False;False
2679;2679;3;2;-1;home;69549.0;;False;True
2695;2695;0;-1;0;home;;25706.0;True;False
2695;2695;1;0;1;education;26606.0;41606.0;False;False
2695;2695;2;1;2;home;41906.0;46706.0;False;False
2695;2695;3;2;3;education;47306.0;58106.0;False;False
2695;2695;4;3;4;leisure;58706.0;63206.0;False;False
2695;2695;5;4;-1;home;63806.0;;False;True
2713;2713;0;-1;0;home;;27610.0;True;False
2713;2713;1;0;1;education;28810.0;43510.0;False;False
2713;2713;2;1;2;home;44710.0;47410.0;False;False
2713;2713;3;2;3;education;48610.0;63370.0;False;False
2713;2713;4;3;-1;home;64810.0;;False;True
2715;2715;0;-1;0;home;;30662.0;True;False
2715;2715;1;0;1;education;32162.0;58262.0;False;False
2715;2715;2;1;-1;home;59462.0;;False;True
2734;2734;0;-1;0;home;;31649.0;True;False
2734;2734;1;0;1;education;31949.0;42749.0;False;False
2734;2734;2;1;2;home;43049.0;49649.0;False;False
2734;2734;3;2;3;education;49949.0;60449.0;False;False
2734;2734;4;3;-1;home;60749.0;;False;True
2774;2774;0;-1;0;home;;27469.0;True;False
2774;2774;1;0;1;home;28069.0;33169.0;False;False
2774;2774;2;1;2;education;34069.0;45169.0;False;False
2774;2774;3;2;3;leisure;45769.0;48169.0;False;False
2774;2774;4;3;4;education;48469.0;54769.0;False;False
2774;2774;5;4;5;leisure;56569.0;60769.0;False;False
2774;2774;6;5;6;education;61969.0;66469.0;False;False
2774;2774;7;6;-1;home;67069.0;;False;True
2849;2849;0;-1;0;home;;30808.0;True;False
2849;2849;1;0;1;education;31708.0;66808.0;False;False
2849;2849;2;1;-1;home;67708.0;;False;True
2872;2872;0;-1;0;home;;32577.0;True;False
2872;2872;1;0;1;leisure;34077.0;46377.0;False;False
2872;2872;2;1;2;shop;49377.0;65517.0;False;False
2872;2872;3;2;-1;home;68037.0;;False;True
2877;2877;0;-1;0;home;;28130.0;True;False
2877;2877;1;0;1;education;28970.0;62630.0;False;False
2877;2877;2;1;2;home;63170.0;69830.0;False;False
2877;2877;3;2;-1;leisure;76130.0;;False;True
2885;2885;0;-1;0;home;;45407.0;True;False
2885;2885;1;0;1;leisure;45707.0;62807.0;False;False
2885;2885;2;1;-1;home;63107.0;;False;True
2934;2934;0;-1;0;home;;29138.0;True;False
2934;2934;1;0;1;education;29438.0;61538.0;False;False
2934;2934;2;1;-1;home;61838.0;;False;True
2944;2944;0;-1;0;home;;28611.0;True;False
2944;2944;1;0;1;education;29031.0;41811.0;False;False
2944;2944;2;1;2;leisure;42411.0;45711.0;False;False
2944;2944;3;2;3;education;46311.0;58611.0;False;False
2944;2944;4;3;4;home;59211.0;61311.0;False;False
2944;2944;5;4;5;leisure;61611.0;68211.0;False;False
2944;2944;6;5;-1;home;68511.0;;False;True
2968;2968;0;-1;0;home;;33123.0;True;False
2968;2968;1;0;1;education;33423.0;45123.0;False;False
2968;2968;2;1;2;home;45543.0;51123.0;False;False
2968;2968;3;2;3;education;51423.0;63123.0;False;False
2968;2968;4;3;-1;home;64023.0;;False;True
2975;2975;0;-1;0;home;;29073.0;True;False
2975;2975;1;0;1;education;29493.0;41673.0;False;False
2975;2975;2;1;2;leisure;42573.0;46773.0;False;False
2975;2975;3;2;3;education;47673.0;64173.0;False;False
2975;2975;4;3;4;home;64593.0;68373.0;False;False
2975;2975;5;4;5;leisure;68973.0;76173.0;False;False
2975;2975;6;5;-1;home;76773.0;;False;True
2995;2995;0;-1;0;home;;27697.0;True;False
2995;2995;1;0;1;education;28597.0;39697.0;False;False
2995;2995;2;1;2;home;40297.0;58297.0;False;False
2995;2995;3;2;-1;home;59197.0;;False;True
2996;2996;0;-1;0;home;;29848.0;True;False
2996;2996;1;0;1;education;30148.0;61048.0;False;False
2996;2996;2;1;-1;home;61348.0;;False;True
3007;3007;0;-1;0;home;;31213.0;True;False
3007;3007;1;0;1;education;31513.0;60913.0;False;False
3007;3007;2;1;-1;home;61213.0;;False;True
3023;3023;0;-1;0;home;;28065.0;True;False
3023;3023;1;0;1;education;28965.0;44565.0;False;False
