household_id;car_availability;bicycle_availability;number_of_cars;number_of_bicycles;income;census_household_id
23431;all;all;1;1;0.0;2771
32629;none;all;1;1;0.0;3836
36705;all;all;1;1;0.0;4317
55255;all;all;1;1;0.0;6739
58952;all;all;1;1;0.0;7095
2695;all;all;1;2;0.0;255
31355;all;all;1;2;0.0;3598
33965;all;all;1;2;0.0;4175
2713;all;all;1;0;0.0;261
6727;all;all;1;0;0.0;766
7860;all;all;1;0;0.0;910
11345;all;all;1;0;0.0;1365
12058;all;all;1;0;0.0;1438
30133;all;all;1;0;0.0;3407
31026;none;all;1;0;0.0;3535
45014;all;all;1;0;0.0;5327
46816;none;all;1;0;0.0;5595
46853;none;none;1;0;0.0;5595
48753;all;all;1;0;0.0;5639
56882;all;all;1;0;0.0;6830
57280;all;all;1;0;0.0;6916
59489;all;all;1;0;0.0;7116
63665;all;none;1;0;0.0;7795
2715;all;none;1;0;0.0;261
2734;all;all;1;2;0.0;261
6346;all;all;1;2;0.0;743
12496;none;all;1;2;0.0;1486
14370;all;all;1;2;0.0;1702
29736;none;all;1;2;0.0;3405
31845;all;all;1;2;0.0;3652
32571;all;all;1;2;0.0;3821
49341;all;all;1;2;0.0;5755
49587;all;all;1;2;0.0;5788
56037;all;all;1;2;0.0;6758
62592;none;all;1;2;0.0;7716
2774;all;all;1;3;0.0;262
4597;all;all;1;3;0.0;663
2849;all;all;1;0;0.0;267
13344;all;all;1;0;0.0;1570
25058;all;none;1;0;0.0;3009
35115;none;all;1;0;0.0;4284
50534;all;all;1;0;0.0;5938
61149;all;all;1;0;0.0;7497
61656;none;none;1;0;0.0;7578
63316;all;all;1;0;0.0;7777
2872;all;all;1;0;0.0;285
12849;none;all;1;0;0.0;1511
18924;all;all;1;0;0.0;2350
22675;all;all;1;0;0.0;2614
25658;all;none;1;0;0.0;3023
48453;none;all;1;0;0.0;5637
58219;all;all;1;0;0.0;7034
60754;all;all;1;0;0.0;7399
2877;all;all;1;2;0.0;286
18949;all;all;1;2;0.0;2351
36589;all;all;1;2;0.0;4303
56062;none;all;1;2;0.0;6759
57053;all;all;1;2;0.0;6867
59393;all;all;1;2;0.0;7110
2885;all;all;1;4;0.0;292
21116;all;all;1;4;0.0;2483
32378;all;all;1;4;0.0;3774
66860;none;all;1;4;0.0;8139
2934;all;all;1;3;0.0;309
5824;all;all;1;3;0.0;737
2968;all;all;1;0;0.0;311
36077;all;all;1;0;0.0;4301
2975;all;all;1;2;0.0;311
30933;all;all;1;2;0.0;3532
45861;all;all;1;2;0.0;5484
46357;all;all;1;2;0.0;5556
52806;all;all;1;2;0.0;6558
2995;all;all;1;1;0.0;322
12281;all;all;1;1;0.0;1472
29473;all;all;1;1;0.0;3391
30851;all;all;1;1;0.0;3518
2996;all;all;1;2;0.0;322
11837;all;all;1;2;0.0;1403
14939;all;all;1;2;0.0;1715
18073;all;all;1;2;0.0;2266
31432;all;all;1;2;0.0;3613
34674;all;all;1;2;0.0;4252
42136;all;all;1;2;0.0;5084
47415;all;all;1;2;0.0;5616
54471;none;all;1;2;0.0;6736
62297;all;none;1;2;0.0;7696
3007;all;all;1;2;0.0;323
8279;all;all;1;2;0.0;945
10108;all;all;1;2;0.0;1258
46583;all;all;1;2;0.0;5576
52902;all;all;1;2;0.0;6576
52985;all;all;1;2;0.0;6579
55044;all;all;1;2;0.0;6738
56305;none;all;1;2;0.0;6775
60542;none;all;1;2;0.0;7337
3016;none;all;1;2;0.0;327
4344;all;all;1;2;0.0;646
20237;all;all;1;2;0.0;2398
29594;all;all;1;2;0.0;3404
3023;all;all;1;1;0.0;333
4659;all;all;1;1;0.0;669
4739;all;all;1;1;0.0;670
40074;all;all;1;1;0.0;4719
3073;all;all;1;4;0.0;345
7336;all;all;1;4;0.0;897
23158;all;all;1;4;0.0;2693
40386;all;all;1;4;0.0;4799
3099;all;all;1;2;0.0;347
50387;all;all;1;2;0.0;5935
3109;all;all;1;1;0.0;347
9813;none;all;1;1;0.0;1211
30887;all;all;1;1;0.0;3519
49980;all;all;1;1;0.0;5859
3139;all;all;1;3;0.0;357
3190;none;all;1;1;0.0;369
55059;all;all;1;1;0.0;6738
3197;all;all;1;0;0.0;369
8491;all;all;1;0;0.0;947
12722;none;all;1;0;0.0;1499
14239;none;all;1;0;0.0;1691
25226;all;all;1;0;0.0;3010
26766;all;none;1;0;0.0;3148
29405;all;all;1;0;0.0;3391
29486;all;all;1;0;0.0;3391
35001;all;all;1;0;0.0;4284
38122;none;all;1;0;0.0;4511
47723;all;all;1;0;0.0;5618
63491;all;all;1;0;0.0;7779
3216;none;all;1;1;0.0;370
14980;all;all;1;1;0.0;1715
3242;none;none;1;2;0.0;381
8169;all;all;1;2;0.0;935
17460;all;all;1;2;0.0;2062
27499;none;all;1;2;0.0;3214
28181;all;all;1;2;0.0;3340
37767;all;all;1;2;0.0;4494
44846;all;all;1;2;0.0;5324
63655;all;all;1;2;0.0;7795
64640;all;none;1;2;0.0;7879
3250;all;all;1;3;0.0;381
3660;none;all;1;3;0.0;477
9125;all;all;1;3;0.0;1053
21284;all;all;1;3;0.0;2518
24264;all;all;1;3;0.0;2927
29869;none;all;1;3;0.0;3405
38579;all;all;1;3;0.0;4527
50085;all;all;1;3;0.0;5879
50683;all;all;1;3;0.0;5956
56620;all;all;1;3;0.0;6795
62871;all;all;1;3;0.0;7755
3256;all;all;1;2;0.0;382
24760;all;all;1;2;0.0;2974
26405;all;all;1;2;0.0;3119
39807;none;all;1;2;0.0;4622
62936;all;none;1;2;0.0;7759
3270;all;all;1;2;0.0;382
11935;all;none;1;2;0.0;1415
12248;all;all;1;2;0.0;1463
23527;all;all;1;2;0.0;2805
24070;none;all;1;2;0.0;2902
36561;all;none;1;2;0.0;4303
39436;all;all;1;2;0.0;4590
54052;all;all;1;2;0.0;6715
59539;all;all;1;2;0.0;7116
3281;all;all;1;4;0.0;383
18790;all;all;1;4;0.0;2327
23780;none;all;1;4;0.0;2855
24204;all;all;1;4;0.0;2925
63956;all;all;1;4;0.0;7798
3317;all;all;1;0;0.0;393
4091;all;all;1;0;0.0;610
24855;none;none;1;0;0.0;2985
25171;all;all;1;0;0.0;3010
32513;all;all;1;0;0.0;3805
33599;all;all;1;0;0.0;4126
58892;all;all;1;0;0.0;7089
59215;all;all;1;0;0.0;7098
63303;all;all;1;0;0.0;7777
3320;all;all;1;0;0.0;393
6531;all;all;1;0;0.0;754
8317;none;all;1;0;0.0;946
29232;all;all;1;0;0.0;3390
46625;all;all;1;0;0.0;5577
54215;all;all;1;0;0.0;6728
61380;all;none;1;0;0.0;7535
67162;all;all;1;0;0.0;8255
3357;none;all;1;0;0.0;395
60526;all;all;1;0;0.0;7336
3363;all;all;1;1;0.0;395
14785;all;all;1;1;0.0;1714
25024;all;none;1;1;0.0;3009
26275;all;all;1;1;0.0;3106
27865;all;all;1;1;0.0;3297
29408;all;all;1;1;0.0;3391
32327;all;all;1;1;0.0;3767
36672;all;all;1;1;0.0;4316
41657;all;all;1;1;0.0;5052
42445;none;all;1;1;0.0;5116
42523;all;all;1;1;0.0;5117
44046;all;all;1;1;0.0;5245
47404;all;all;1;1;0.0;5616
54614;none;all;1;1;0.0;6736
61363;all;none;1;1;0.0;7535
3374;all;all;1;2;0.0;399
3394;all;all;1;2;0.0;405
24714;all;all;1;2;0.0;2974
3484;all;all;1;2;0.0;417
5486;all;all;1;2;0.0;730
5550;all;all;1;2;0.0;730
14192;all;all;1;2;0.0;1691
21581;none;all;1;2;0.0;2554
23342;all;all;1;2;0.0;2745
26758;all;all;1;2;0.0;3147
27134;all;all;1;2;0.0;3177
34949;all;all;1;2;0.0;4284
